County,Tabulator ID,Batch ID,# of Ballot Cards,Location
La Plata,103,1,50,Bin # 1
La Plata,103,2,50,Bin # 1
La Plata,103,3,50,Bin # 1
La Plata,103,4,50,Bin # 1
La Plata,103,5,50,Bin # 1
La Plata,103,6,50,Bin # 1
La Plata,103,7,50,Bin # 1
La Plata,102,1,50,Bin # 1
La Plata,103,8,50,Bin # 1
La Plata,102,2,50,Bin # 1
La Plata,103,9,50,Bin # 1
La Plata,103,10,50,Bin # 1
La Plata,102,3,50,Bin # 1
La Plata,103,11,50,Bin # 1
La Plata,103,12,50,Bin # 1
La Plata,103,13,50,Bin # 1
La Plata,102,4,50,Bin # 1
La Plata,103,14,50,Bin # 1
La Plata,103,15,50,Bin # 1
La Plata,103,16,50,Bin # 1
La Plata,102,5,50,Bin # 1
La Plata,103,17,50,Bin # 1
La Plata,102,6,50,Bin # 1
La Plata,103,18,50,Bin # 1
La Plata,103,19,50,Bin # 1
La Plata,102,7,50,Bin # 1
La Plata,103,20,50,Bin # 1
La Plata,102,8,50,Bin # 1
La Plata,103,21,50,Bin # 1
La Plata,102,9,50,Bin # 1
La Plata,103,22,50,Bin # 1
La Plata,103,23,50,Bin # 1
La Plata,102,10,50,Bin # 1
La Plata,103,24,50,Bin # 1
La Plata,103,25,50,Bin # 1
La Plata,102,11,50,Bin # 1
La Plata,103,26,50,Bin # 1
La Plata,102,12,50,Bin # 1
La Plata,103,27,50,Bin # 1
La Plata,103,28,50,Bin # 1
La Plata,102,13,50,Bin # 1
La Plata,103,29,50,Bin # 1
La Plata,103,30,50,Bin # 1
La Plata,102,14,50,Bin # 1
La Plata,103,31,50,Bin # 1
La Plata,103,32,50,Bin # 1
La Plata,102,15,50,Bin # 1
La Plata,103,33,50,Bin # 1
La Plata,103,34,50,Bin # 1
La Plata,103,35,50,Bin # 1
La Plata,102,16,50,Bin # 1
La Plata,103,36,50,Bin # 1
La Plata,102,17,50,Bin # 1
La Plata,103,37,50,Bin # 1
La Plata,103,38,50,Bin # 1
La Plata,102,18,50,Bin # 1
La Plata,103,39,50,Bin # 1
La Plata,103,40,50,Bin # 1
La Plata,102,19,50,Bin # 1
La Plata,103,41,50,Bin # 1
La Plata,102,20,50,Bin # 1
La Plata,103,42,50,Bin # 1
La Plata,102,21,50,Bin # 1
La Plata,103,43,50,Bin # 1
La Plata,103,44,50,Bin # 1
La Plata,102,22,50,Bin # 1
La Plata,103,45,50,Bin # 1
La Plata,102,23,50,Bin # 1
La Plata,102,24,50,Bin # 1
La Plata,103,46,50,Bin # 1
La Plata,103,47,50,Bin # 1
La Plata,103,48,50,Bin # 1
La Plata,102,25,50,Bin # 1
La Plata,103,49,50,Bin # 1
La Plata,102,26,50,Bin # 1
La Plata,102,27,50,Bin # 1
La Plata,102,28,50,Bin # 1
La Plata,103,50,50,Bin # 1
La Plata,102,29,50,Bin # 1
La Plata,102,30,50,Bin # 1
La Plata,102,31,50,Bin # 1
La Plata,102,32,50,Bin # 1
