County,Tabulator ID,Batch,# of Ballot Cards,Location
Rio Grande,102,1,25,Box 1
Rio Grande,102,2,25,Box 1
Rio Grande,102,3,25,Box 1
Rio Grande,102,4,25,Box 1
Rio Grande,102,5,25,Box 1
Rio Grande,102,6,25,Box 1
Rio Grande,102,7,25,Box 1
Rio Grande,102,8,25,Box 1
Rio Grande,102,9,25,Box 1
Rio Grande,102,10,25,Box 1
Rio Grande,102,11,25,Box 1
Rio Grande,102,12,25,Box 1
Rio Grande,102,13,25,Box 1
Rio Grande,102,14,25,Box 1
Rio Grande,102,15,25,Box 1
Rio Grande,102,16,25,Box 1
Rio Grande,102,17,25,Box 1
Rio Grande,102,18,25,Box 1
Rio Grande,102,19,25,Box 1
Rio Grande,102,20,25,Box 1
Rio Grande,102,21,25,Box 1
Rio Grande,102,22,25,Box 1
Rio Grande,102,23,25,Box 1
Rio Grande,102,24,25,Box 1
Rio Grande,102,25,25,Box 1
Rio Grande,102,26,25,Box 1
Rio Grande,102,27,25,Box 1
Rio Grande,102,28,25,Box 1
Rio Grande,102,29,25,Box 1
Rio Grande,102,30,25,Box 1
Rio Grande,102,31,25,Box 1
Rio Grande,102,32,25,Box 1
Rio Grande,102,33,25,Box 1
Rio Grande,102,34,25,Box 1
Rio Grande,102,35,25,Box 1
Rio Grande,102,36,25,Box 1
Rio Grande,102,37,25,Box 1
Rio Grande,102,38,25,Box 1
Rio Grande,102,39,25,Box 1
Rio Grande,102,40,25,Box 1
Rio Grande,102,41,25,Box 1
Rio Grande,102,42,25,Box 1
Rio Grande,102,43,25,Box 1
Rio Grande,102,44,25,Box 1
Rio Grande,102,45,25,Box 1
Rio Grande,102,46,25,Box 1
Rio Grande,102,47,25,Box 1
Rio Grande,102,48,25,Box 1
Rio Grande,102,49,25,Box 1
Rio Grande,102,50,25,Box 1
Rio Grande,102,51,25,Box 1
Rio Grande,102,52,25,Box 1
Rio Grande,102,53,25,Box 1
Rio Grande,102,54,25,Box 1
Rio Grande,102,55,25,Box 1
Rio Grande,102,56,25,Box 1
Rio Grande,102,57,25,Box 1
Rio Grande,102,58,25,Box 1
Rio Grande,102,59,25,Box 1
Rio Grande,102,60,25,Box 1
Rio Grande,102,61,25,Box 1
Rio Grande,102,62,25,Box 1
Rio Grande,102,63,25,Box 1
Rio Grande,102,64,25,Box 1
Rio Grande,102,65,25,Box 1
Rio Grande,102,66,25,Box 1
Rio Grande,102,67,25,Box 1
Rio Grande,102,68,25,Box 1
Rio Grande,102,69,25,Box 1
Rio Grande,102,70,25,Box 1
Rio Grande,102,71,25,Box 1
Rio Grande,102,72,25,Box 1
Rio Grande,102,73,25,Box 1
Rio Grande,102,74,25,Box 1
Rio Grande,102,75,25,Box 1
Rio Grande,102,76,25,Box 1
Rio Grande,102,77,25,Box 1
Rio Grande,102,78,25,Box 1
Rio Grande,102,79,25,Box 1
Rio Grande,102,80,25,Box 1
Rio Grande,102,81,25,Box 1
Rio Grande,102,82,25,Box 1
Rio Grande,102,83,25,Box 1
Rio Grande,102,84,25,Box 1
Rio Grande,102,85,25,Box 1
Rio Grande,102,86,25,Box 1
Rio Grande,102,87,25,Box 1
Rio Grande,102,88,25,Box 1
Rio Grande,102,89,25,Box 1
Rio Grande,102,90,25,Box 1
Rio Grande,102,91,25,Box 1
Rio Grande,102,92,25,Box 1
Rio Grande,102,93,25,Box 1
Rio Grande,102,94,25,Box 1
Rio Grande,102,95,25,Box 1
Rio Grande,102,96,25,Box 1
Rio Grande,102,97,25,Box 1
Rio Grande,102,98,25,Box 1
Rio Grande,102,99,25,Box 1
Rio Grande,102,100,25,Box 1
Rio Grande,102,101,25,Box 1
Rio Grande,102,102,25,Box 1
Rio Grande,102,103,25,Box 1
Rio Grande,102,104,25,Box 1
Rio Grande,102,105,25,Box 1
Rio Grande,102,106,25,Box 1
Rio Grande,102,107,25,Box 1
Rio Grande,102,108,25,Box 1
Rio Grande,102,109,25,Box 1
Rio Grande,102,110,25,Box 1
Rio Grande,102,111,25,Box 1
Rio Grande,102,112,25,Box 1
Rio Grande,102,113,25,Box 1
Rio Grande,102,114,25,Box 1
Rio Grande,102,115,25,Box 1
Rio Grande,102,116,25,Box 1
Rio Grande,102,117,25,Box 1
Rio Grande,102,118,25,Box 1
Rio Grande,102,119,25,Box 1
Rio Grande,102,120,25,Box 1
Rio Grande,102,121,25,Box 1
Rio Grande,102,122,25,Box 1
Rio Grande,102,123,25,Box 1
Rio Grande,102,124,25,Box 1
Rio Grande,102,125,25,Box 1
Rio Grande,102,126,25,Box 1
Rio Grande,102,127,25,Box 1
Rio Grande,102,128,25,Box 1
Rio Grande,102,129,25,Box 1
Rio Grande,102,130,25,Box 1
Rio Grande,102,131,25,Box 1
Rio Grande,102,132,13,Box 1
Rio Grande,102,133,14,Box 1
