County,Tabulator,Batch,# of Ballot Cards,Location
Weld,101,1,100,2
Weld,101,2,100,2
Weld,101,3,100,2
Weld,101,4,100,2
Weld,101,5,100,2
Weld,101,6,99,2
Weld,101,7,100,7
Weld,101,8,100,7
Weld,101,9,100,7
Weld,101,10,99,7
Weld,101,11,100,7
Weld,101,12,100,7
Weld,101,13,100,10
Weld,101,14,100,10
Weld,101,15,99,10
Weld,101,16,100,10
Weld,101,17,100,10
Weld,101,18,100,10
Weld,101,19,100,13
Weld,101,20,100,13
Weld,101,21,100,13
Weld,101,22,100,13
Weld,101,23,100,13
Weld,101,24,100,13
Weld,101,25,99,17
Weld,101,26,99,17
Weld,101,27,100,17
Weld,101,28,100,17
Weld,101,29,100,17
Weld,101,30,98,17
Weld,101,31,100,20
Weld,101,32,99,20
Weld,101,33,100,20
Weld,101,34,99,20
Weld,101,35,99,20
Weld,101,36,100,20
Weld,101,37,99,23
Weld,101,38,100,23
Weld,101,39,100,23
Weld,101,40,100,23
Weld,101,41,99,23
Weld,101,42,51,23
Weld,101,43,100,27
Weld,101,44,100,27
Weld,101,45,100,27
Weld,101,46,78,27
Weld,101,47,100,27
Weld,101,48,30,27
Weld,101,49,100,29
Weld,101,50,100,29
Weld,101,51,100,29
Weld,101,52,99,29
Weld,101,53,100,29
Weld,101,54,100,29
Weld,101,55,51,35
Weld,101,56,100,35
Weld,101,57,100,35
Weld,101,58,100,35
Weld,101,59,100,35
Weld,101,60,100,35
Weld,101,61,100,36
Weld,101,62,100,36
Weld,101,63,100,36
Weld,101,64,100,36
Weld,101,65,100,36
Weld,101,66,100,36
Weld,101,67,100,40
Weld,101,68,15,40
Weld,101,69,19,40
Weld,101,70,20,40
Weld,101,71,21,40
Weld,101,72,24,40
Weld,101,73,100,45
Weld,101,74,100,45
Weld,101,75,100,45
Weld,101,76,100,45
Weld,101,77,100,45
Weld,101,78,100,45
Weld,101,79,100,50
Weld,101,80,100,50
Weld,101,81,99,50
Weld,101,82,100,50
Weld,101,83,97,50
Weld,101,84,100,50
Weld,101,85,100,52
Weld,101,86,100,52
Weld,101,87,100,52
Weld,101,88,100,52
Weld,101,89,100,52
Weld,101,90,57,52
Weld,101,91,100,56
Weld,101,92,100,56
Weld,101,93,100,56
Weld,101,94,100,56
Weld,101,95,100,56
Weld,101,96,100,56
Weld,101,97,100,59
Weld,101,98,100,59
Weld,101,99,100,59
Weld,101,100,100,59
Weld,101,101,100,59
Weld,101,102,100,59
Weld,101,103,100,63
Weld,101,104,100,63
Weld,101,105,90,63
Weld,101,106,75,63
Weld,101,107,100,63
Weld,101,108,100,63
Weld,101,109,100,67
Weld,101,110,99,67
